,CVE_ENT_x,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018,CVEGEO,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,LONGITUD,LATITUD,CVE_MUN,NOMGEO
85,14,Jalisco,Zapotlanejo,,,M14.01,Guadalajara,72311,14124,39902.0,53461,63636,64806,103.06416666666667,20.6225,124,Zapotlanejo
86,14,Jalisco,Tonalá,,,M14.01,Guadalajara,554446,14101,168555.0,337149,478689,569913,103.24555555555555,20.623333333333335,101,Tonalá
87,14,Jalisco,Guadalajara,,,M14.01,Guadalajara,1530658,14039,1650205.0,1646319,1495189,1385629,103.34222222222222,20.67638888888889,039,Guadalajara
88,14,Jalisco,San Pedro Tlaquepaque,,,M14.01,Guadalajara,674818,14098,339649.0,474178,608114,687127,103.30722222222222,20.63861111111111,098,San Pedro Tlaquepaque
89,14,Jalisco,Zapopan,,,M14.01,Guadalajara,1386310,14120,712008.0,1001021,1243756,1476491,103.38898777777779,20.720961944444444,120,Zapopan
90,14,Jalisco,Puerto Vallarta,,,M14.03,Puerto Vallarta,297079,14067,111457.0,184728,255681,291839,105.22722222222222,20.613611111111112,067,Puerto Vallarta
91,15,México,Acolman,,,M09.01,Valle de México,196696,15002,43276.0,61250,136558,171507,98.91190555555556,19.63550888888889,002,Acolman
92,15,México,Teotihuacán,,,M09.01,Valle de México,62684,15092,30486.0,44653,53010,58507,98.86862777777777,19.685479444444443,092,Teotihuacán
93,15,México,Lerma,,,M15.02,Toluca,169338,15051,66912.0,99870,134799,170327,99.51181694444445,19.285373333333336,051,Lerma
94,15,México,Tultepec,,,M09.01,Valle de México,92467,15108,47323.0,93277,131567,157645,99.12860527777777,19.685548055555557,108,Tultepec
95,15,México,Teoloyucan,,,M09.01,Valle de México,64019,15091,41964.0,66556,63115,65459,99.183065,19.74546555555556,091,Teoloyucan
96,15,México,Calimaya,,,M15.02,Toluca,57489,15018,24906.0,35196,47033,68489,99.61866527777777,19.163224999999997,018,Calimaya
97,15,México,Temoaya,,,M15.02,Toluca,107309,15087,49427.0,69306,90010,105766,99.5949061111111,19.470013888888886,087,Temoaya
98,15,México,Texcoco,,,M09.01,Valle de México,277618,15099,140368.0,204102,235151,277562,98.88148444444444,19.513439722222223,099,Texcoco
99,15,México,Chalco,,,M09.01,Valle de México,382238,15025,282940.0,217972,310130,400057,98.89565472222223,19.261131666666667,025,Chalco
100,15,México,Zinacantepec,,,M15.02,Toluca,208262,15118,83197.0,121850,167759,203872,99.7350375,19.284906388888892,118,Zinacantepec
101,15,México,Axapusco,,,M09.01,Valle de México,30408,15016,15803.0,20516,25559,29128,98.75833027777777,19.724458055555555,016,Axapusco
102,15,México,Papalotla,,,M09.01,Valle de México,4803,15069,2387.0,3469,4147,4862,98.85820916666665,19.5633775,069,Papalotla
103,15,México,Naucalpan de Juárez,,,M09.01,Valle de México,926802,15057,786551.0,858711,833779,834434,99.23321805555555,19.478802777777776,057,Naucalpan de Juárez
104,15,México,Nicolás Romero,,,M09.01,Valle de México,447341,15060,184134.0,269546,366602,430601,99.31589805555555,19.625715,060,Nicolás Romero
105,15,México,Atlautla,,,M09.01,Valle de México,32978,15015,18993.0,25950,27663,31900,98.78266638888888,19.030860833333332,015,Atlautla
106,15,México,Almoloya de Juárez,,,M15.02,Toluca,177051,15005,84147.0,110591,147653,174587,99.75855194444445,19.369293055555556,005,Almoloya de Juárez
107,15,México,Chicoloapan,,,M09.01,Valle de México,196624,15029,57306.0,77579,175053,200750,98.90201222222223,19.416765277777777,029,Chicoloapan
108,15,México,Toluca,,,M15.02,Toluca,955654,15106,487612.0,666596,819561,910608,99.65731666666667,19.293488055555557,106,Toluca
109,15,México,Tepotzotlán,,,M09.01,Valle de México,113009,15095,39647.0,62280,88559,103696,99.22351444444445,19.713778055555554,095,Tepotzotlán
110,15,México,Tianguistenco,,,M15.01,Tianguistenco,82211,15101,42448.0,58381,70682,84259,99.46743888888889,19.181214166666667,101,Tianguistenco
111,15,México,Villa del Carbón,,,M09.01,Valle de México,52808,15112,27283.0,37993,44881,51498,99.46307972222222,19.727588333333333,112,Villa del Carbón
112,15,México,Atizapán,,,M15.01,Tianguistenco,12266,15012,5339.0,8172,10299,12984,99.48794194444444,19.17675777777778,012,Atizapán
113,15,México,San Mateo Atenco,,,M15.02,Toluca,83992,15076,41926.0,59647,72579,97418,99.52972222222222,19.264166666666668,076,San Mateo Atenco
114,15,México,Jilotzingo,,,M09.01,Valle de México,22819,15046,9011.0,15086,17970,19877,99.397135,19.538918055555555,046,Jilotzingo
115,15,México,Chiconcuac,,,M09.01,Valle de México,27280,15030,14179.0,17972,22819,27692,98.89530694444446,19.552722222222222,030,Chiconcuac
116,15,México,Jaltenco,,,M09.01,Valle de México,29099,15044,22803.0,31629,26328,28217,99.09403138888888,19.752221111111112,044,Jaltenco
117,15,México,Hueypoxtla,,,M09.01,Valle de México,45878,15036,26189.0,33343,39864,46757,99.07836999999999,19.907039444444443,036,Hueypoxtla
118,15,México,Melchor Ocampo,,,M09.01,Valle de México,64885,15053,26154.0,37716,50240,61220,99.14345833333334,19.710413888888887,053,Melchor Ocampo
119,15,México,Rayón,,,M15.02,Toluca,15186,15072,7026.0,9024,12748,15972,99.58173916666667,19.148010555555555,072,Rayón
120,15,México,Tezoyuca,,,M09.01,Valle de México,46349,15100,12416.0,18852,35199,47044,98.90850361111112,19.5903125,100,Tezoyuca
121,15,México,Isidro Fabela,,,M09.01,Valle de México,12332,15038,5190.0,8168,10308,11929,99.41738000000001,19.55559138888889,038,Isidro Fabela
